crime,log_pibpc,pop_scales,edad_media,ratio_mh,urban,densidad,hab_dom
Sim,10.414678109705823,De 50.001 a 100.000,40.3,106.3,"(95,97.5]","(100,500]",2.68
Não,10.466688335263093,Até 10.000,40.8,105.3,"(90,95]","(25,50]",2.75
Não,10.591432223481046,Até 10.000,38.2,99.5,"(-Inf,80]","(-Inf,25]",2.78
Sim,9.743583436725523,Mais de 100.000,33.5,104.7,"(95,97.5]","(500, Inf]",3.02
Não,10.00357720155014,Até 10.000,41.5,101.9,"(80,90]","(-Inf,25]",2.57
Não,10.024764034552355,Até 10.000,43.9,104.2,"(80,90]","(-Inf,25]",2.54
Não,9.731147019193626,De 10.001 a 50.000,37.4,82.6,"(-Inf,80]","(-Inf,25]",3.06
Não,10.85803199170253,Até 10.000,39.1,107,"(90,95]","(-Inf,25]",2.73
Sim,10.30596888026238,Mais de 100.000,36.8,104.6,"(97.5,100]","(500, Inf]",2.9
Sim,9.129271304442183,Mais de 100.000,32.7,102,"(97.5,100]","(500, Inf]",3.01
Sim,10.001628721307018,Mais de 100.000,33.5,96.6,"(90,95]","(500, Inf]",3.24
Não,10.25273533325531,Até 10.000,41.9,99.8,"(80,90]","(-Inf,25]",2.65
Não,10.036142561248429,Até 10.000,40,102.3,"(-Inf,80]","(-Inf,25]",2.66
Não,10.225960468626253,De 10.001 a 50.000,38.6,106,"(90,95]","(50,100]",2.87
Não,9.653191819494706,Até 10.000,36.4,84.4,"(90,95]","(25,50]",2.94
Sim,12.367617690956767,Até 10.000,35.9,95.3,"(80,90]","(-Inf,25]",2.87
Não,9.99973638257954,De 10.001 a 50.000,40,101.6,"(80,90]","(-Inf,25]",2.67
Não,9.73857753136161,De 10.001 a 50.000,37,84.3,"(80,90]","(-Inf,25]",3.26
Não,10.035418039394568,Até 10.000,37.9,101.4,"(-Inf,80]","(-Inf,25]",2.91
Sim,9.550106463610248,De 10.001 a 50.000,35.7,99.8,"(90,95]","(25,50]",2.96
Não,10.274818668163237,Até 10.000,36.6,102.4,"(90,95]","(25,50]",2.9
Sim,11.381051326911866,De 10.001 a 50.000,38,103,"(95,97.5]","(25,50]",2.76
Não,10.317377075404188,De 10.001 a 50.000,37.9,99,"(90,95]","(50,100]",2.8
Não,9.837369117324668,De 10.001 a 50.000,35.4,98,"(-Inf,80]","(25,50]",3.01
Sim,10.069246029030612,De 10.001 a 50.000,35.3,101.5,"(97.5,100]","(50,100]",2.92
Não,10.356987301382523,Até 10.000,40.1,103.3,"(80,90]","(-Inf,25]",2.75
Não,10.2986521251433,De 10.001 a 50.000,36,97.4,"(90,95]","(-Inf,25]",2.84
Não,9.781500693181655,Até 10.000,40.2,104.6,"(80,90]","(-Inf,25]",2.53
Sim,10.056599121245807,Até 10.000,36.1,99.8,"(90,95]","(-Inf,25]",2.9
Sim,10.328460146351262,De 10.001 a 50.000,38.4,104,"(90,95]","(25,50]",2.8
Sim,10.810604533940499,De 10.001 a 50.000,35.2,100.4,"(80,90]","(100,500]",3.05
Sim,10.916910984233779,Mais de 100.000,37.7,107.9,"(95,97.5]","(100,500]",2.98
Não,9.579881885457027,De 10.001 a 50.000,35.3,67,"(-Inf,80]","(25,50]",3.58
Sim,10.031105180775107,De 10.001 a 50.000,34.9,99.6,"(97.5,100]","(100,500]",2.9
Sim,10.275894201741862,Mais de 100.000,35,105.3,"(97.5,100]","(500, Inf]",3.04
Sim,10.793168154558202,Mais de 100.000,34.3,105.2,"(97.5,100]","(500, Inf]",3.02
Não,10.36384101837394,Até 10.000,36.1,96.6,"(80,90]","(-Inf,25]",3.01
Não,9.533352425412563,Até 10.000,37.2,98.2,"(80,90]","(-Inf,25]",2.77
Não,10.316961504069454,Até 10.000,36.7,100.4,"(90,95]","(25,50]",2.81
Sim,11.169190579041823,De 10.001 a 50.000,35.1,97.8,"(80,90]","(100,500]",3.08
Sim,11.08302216190478,Mais de 100.000,34.5,99.1,"(97.5,100]","(500, Inf]",3.03
Não,10.626789474235608,De 10.001 a 50.000,37,95.6,"(80,90]","(-Inf,25]",2.94
Não,10.190965729202576,Até 10.000,39.2,98,"(80,90]","(-Inf,25]",2.81
Sim,9.958028293257318,Até 10.000,35,55.7,"(-Inf,80]","(-Inf,25]",4.24
Sim,10.008620692346025,De 10.001 a 50.000,34.5,96.3,"(95,97.5]","(100,500]",3.04
Sim,9.928164555248568,De 10.001 a 50.000,38.1,102.3,"(90,95]","(25,50]",2.75
Sim,10.040046108674334,Até 10.000,36.3,99.8,"(90,95]","(25,50]",2.85
Sim,10.158609113371094,De 50.001 a 100.000,37.4,103.5,"(95,97.5]","(50,100]",2.84
Sim,10.098571489265181,De 50.001 a 100.000,35.5,98.6,"(-Inf,80]","(50,100]",2.95
Não,9.988900736428588,Até 10.000,35.6,97.1,"(80,90]","(-Inf,25]",2.84
Não,10.36692435479325,Até 10.000,37.9,103.9,"(90,95]","(-Inf,25]",2.86
Sim,9.516608155110795,De 10.001 a 50.000,36.4,101.6,"(97.5,100]","(100,500]",3.01
Não,10.628158351394546,De 10.001 a 50.000,37.5,102.5,"(95,97.5]","(50,100]",2.77
Sim,10.025402484583893,Até 10.000,36.3,97.1,"(80,90]","(25,50]",2.86
Sim,10.662965163429979,De 10.001 a 50.000,37.2,101.5,"(80,90]","(-Inf,25]",2.93
Sim,13.025878886366385,De 10.001 a 50.000,34.1,98.6,"(97.5,100]","(50,100]",2.77
Não,11.541227944388053,De 10.001 a 50.000,38,105.8,"(97.5,100]","(50,100]",2.8
Sim,10.137681027949007,De 10.001 a 50.000,40.1,107.3,"(90,95]","(25,50]",2.78
Sim,11.15464494707289,Mais de 100.000,36.4,102.1,"(97.5,100]","(500, Inf]",2.92
Não,9.517523555684516,Até 10.000,38.8,100,"(80,90]","(25,50]",2.71
Não,10.071983981136384,Até 10.000,40.9,106.6,"(90,95]","(-Inf,25]",2.59
Não,10.45692342693888,Até 10.000,38.1,101,"(90,95]","(25,50]",2.82
Não,10.063714307006782,De 10.001 a 50.000,36.3,99.4,"(90,95]","(50,100]",2.98
Sim,9.916388476599728,De 10.001 a 50.000,34,89.2,"(-Inf,80]","(100,500]",3.2
Sim,11.068315392839745,Até 10.000,34.5,95.4,"(90,95]","(25,50]",3
Não,9.926935488398676,Até 10.000,38.1,98.9,"(-Inf,80]","(25,50]",2.85
Não,9.488275850319056,Até 10.000,34.2,99.9,"(-Inf,80]","(-Inf,25]",3.09
Sim,10.062432151719351,De 10.001 a 50.000,35,97.9,"(95,97.5]","(25,50]",2.84
Sim,12.603747824103449,De 10.001 a 50.000,36.3,100.8,"(97.5,100]","(100,500]",2.99
Não,9.94705170390536,Até 10.000,37.7,93,"(90,95]","(25,50]",2.86
Não,9.47345281802448,Até 10.000,39.1,72.3,"(-Inf,80]","(25,50]",3.28
Não,10.42241377765802,De 10.001 a 50.000,36.7,99.5,"(-Inf,80]","(-Inf,25]",2.88
Sim,10.191537932154496,De 10.001 a 50.000,35.2,90.5,"(-Inf,80]","(-Inf,25]",3.07
Não,10.64257608133528,De 10.001 a 50.000,41,100.2,"(80,90]","(25,50]",2.7
Não,10.203147231212196,Até 10.000,37.1,93.5,"(80,90]","(-Inf,25]",2.96
Sim,9.946665330019428,De 50.001 a 100.000,35.7,107.7,"(97.5,100]","(100,500]",2.93
Não,9.494477418241237,Até 10.000,36.9,92.9,"(-Inf,80]","(-Inf,25]",3
Sim,10.047902132846762,Mais de 100.000,33.2,100.6,"(97.5,100]","(500, Inf]",3.15
